1 103.36
2 85.14
3 98.9
4 87.92
5 105.1
6 137.16
7 85.74
8 99.54
9 95.92
10 121.64
11 93.22
12 79.1
13 85.02
14 90.42
15 99.06
16 121.22
17 99.92
18 88.56
19 102.92
20 120.98
21 86.22
22 116.78
23 123.8
24 92.56
25 98.02
26 102.34
27 92.34
28 103.16
29 79.44
30 123.34
31 88.9
32 90.88
33 106.58
34 94.46
35 101.5
36 85.52
37 105
38 133.22
39 96.64
40 95.16
41 102.76
42 107.68
43 113.9
44 115.6
45 113.24
46 109.42
47 115.5
48 104.76
49 106.86
50 92.06
51 132.08
52 100.28
53 105.66
54 99.08
55 81.88
56 102.14
57 88.8
58 94.56
59 91.84
60 108.66
61 120.68
62 85.96
63 85.92
64 86.64
65 94
66 88.9
67 107.42
68 102.5
69 113.28
70 118.88
71 94.4
72 90.5
73 88.86
74 89.36
75 75.46
76 90.92
77 87.54
78 84.2
79 116.44
80 126.02
81 89.98
82 97.86
83 84.8
84 100.22
85 82.34
86 78.96
87 87.86
88 126.68
89 83.14
90 108.58
91 117.26
92 116.42
93 81.04
94 97.44
95 79.22
96 99.66
97 100.22
98 95.24
99 89.88
100 108.24
